name,artist,album,played_at,duration_ms,popularity,explicit,song_id,date,duration_mins
Paranoid - 2009 Remaster,Black Sabbath,Paranoid,2025-07-24 13:27:33.362000+00:00,167720,86,False,3Jnxngdff0lVu2rza1GVx6,2025-07-24 13:27,2.8
War Pigs - 2009 Remaster,Black Sabbath,Paranoid,2025-07-24 13:24:45.254000+00:00,475000,80,False,6TYQRlRci6AkVrN9a5C7ne,2025-07-24 13:24,7.92
Wicked World - 2009 Remaster,Black Sabbath,Black Sabbath,2025-07-24 13:16:13.542000+00:00,284373,58,False,2X0g40RcASNCKcum3drycX,2025-07-24 13:16,4.74
Warning - 2009 Remaster,Black Sabbath,Black Sabbath,2025-07-24 13:11:29.153000+00:00,632306,58,False,5WQOEqeiGrGhtMDqZBpu80,2025-07-24 13:11,10.54
Sleeping Village - 2009 Remaster,Black Sabbath,Black Sabbath,2025-07-24 13:00:56.974000+00:00,226053,59,False,1K8N1137M0cVuKEzLTBmLg,2025-07-24 13:00,3.77
"Evil Woman, Don't Play Your Games with Me - 2009 Remaster",Black Sabbath,Black Sabbath,2025-07-24 12:57:10.544000+00:00,200333,64,False,046x8yuXjJFPaaQI6Iyz9e,2025-07-24 12:57,3.34
N.I.B. - 2009 Remaster,Black Sabbath,Black Sabbath,2025-07-24 12:53:50.545000+00:00,366173,77,False,3XclwoQxz4p6Dl7VUf90KW,2025-07-24 12:53,6.1
Behind the Wall of Sleep - 2009 Remaster,Black Sabbath,Black Sabbath,2025-07-24 12:48:57.935000+00:00,217066,62,False,5JYanX4zPe3uX3nShgE0qR,2025-07-24 12:48,3.62
The Wizard - 2009 Remaster,Black Sabbath,Black Sabbath,2025-07-24 12:45:06.100000+00:00,262493,71,False,02VKxjok07ypt3oFlGRjmH,2025-07-24 12:45,4.37
Black Sabbath - 2009 Remaster,Black Sabbath,Black Sabbath,2025-07-24 12:40:28.021000+00:00,380400,71,False,6KmJMlyPp0rPR7LloToCaF,2025-07-24 12:40,6.34
Virtual You,22º Halo,Lily of the Valley,2025-07-24 12:32:49.247000+00:00,128059,31,False,5jJ8E4bKnXdyrQxmGEnytT,2025-07-24 12:32,2.13
Jamie (feat. Charles Wesley Godwin),Zach Bryan,Summertime Blues,2025-07-24 09:34:21.679000+00:00,220057,69,False,11xeawurZXUDqRPxCasaDt,2025-07-24 09:34,3.67
How To Save A Life,Wyatt Flores,Half Life,2025-07-24 09:31:19.565000+00:00,205194,63,False,77OtRW5pVWMVUelKni2Z2O,2025-07-24 09:31,3.42
Foolin' Ourselves,Evan Honer,West on I-10,2025-07-24 09:27:15.300000+00:00,191539,64,True,6cB0sVqlATraubALqGJ0l1,2025-07-24 09:27,3.19
