name,artist,album,played_at,duration_ms,popularity,explicit,song_id,date,duration_mins
Guilty of Everything,Nothing,Guilty of Everything,2025-07-31 11:44:50.279000+00:00,263567,29,False,4X02SJMsjb6KZkH5QaAXGS,2025-07-31 11:44,4.39
B&E,Nothing,Guilty of Everything,2025-07-31 11:40:24.097000+00:00,318813,27,False,3ISyXQ2lSec1yltnvBbEEY,2025-07-31 11:40,5.31
Beat Around the Bush,Nothing,Guilty of Everything,2025-07-31 11:23:16.505000+00:00,245846,24,False,3NwMaqz8z9dQDTZ9m3Lo9X,2025-07-31 11:23,4.1
Get Well,Nothing,Guilty of Everything,2025-07-31 11:19:10.298000+00:00,272864,29,False,0wrUMltYXH5OX82ylmEbD7,2025-07-31 11:19,4.55
Somersault,Nothing,Guilty of Everything,2025-07-31 11:14:37.419000+00:00,270565,33,False,1X3RzfQtAcsj3K6QE9l9IO,2025-07-31 11:14,4.51
Endlessly,Nothing,Guilty of Everything,2025-07-31 11:10:54.835000+00:00,253664,33,False,7EzKrIF3T2XqUZfhnHw5CE,2025-07-31 11:10,4.23
Bent Nail,Nothing,Guilty of Everything,2025-07-31 11:05:53.350000+00:00,177216,30,False,7l3ccltGPIkcICT4u3Cko6,2025-07-31 11:05,2.95
Dig,Nothing,Guilty of Everything,2025-07-31 11:04:45.132000+00:00,242759,33,False,2jUvEnpLXGQh94Qoymx4P8,2025-07-31 11:04,4.05
Hymn to the Pillory,Nothing,Guilty of Everything,2025-07-31 10:58:53.365000+00:00,281004,33,False,5mR1Clx2pnR6RNSS0U3wq9,2025-07-31 10:58,4.68
BIRDS,Turnstile,NEVER ENOUGH,2025-07-30 14:49:27.638000+00:00,146933,66,False,0kshHISCRGn9MwpkbqafG4,2025-07-30 14:49,2.45
Fill the Gap,High Vis,Guided Tour,2025-07-30 14:42:18.713000+00:00,208861,31,False,0nkeiC7a97a9YVEfw23FyQ,2025-07-30 14:42,3.48
4AM,Sunliner,Sunliner,2025-07-30 14:38:49.454000+00:00,211958,23,False,2B0hlBs9WrmOdhzsKWsBuI,2025-07-30 14:38,3.53
Man You Raised,Sam Barber,Restless Mind,2025-07-30 14:32:57.871000+00:00,249746,60,True,2r1JoPQLh3nZFpot08URwN,2025-07-30 14:32,4.16
Spiraling Down,Joe Jordan,Spiraling Down,2025-07-30 14:28:47.594000+00:00,221160,57,False,63vEhB7NF3uYGMrrbT86q6,2025-07-30 14:28,3.69
Wherever I Go,Noah Rinker,Wherever I Go,2025-07-30 14:25:06.013000+00:00,251784,66,False,4ahVNbbhPycMPbW5ZMNuCo,2025-07-30 14:25,4.2
To Be Free,Dylan Gossett,To Be Free,2025-07-30 14:20:53.560000+00:00,168173,69,False,36oNCGbPVXLp4l1FQFIiaK,2025-07-30 14:20,2.8
To Be Free,Dylan Gossett,To Be Free,2025-07-30 14:20:09.088000+00:00,168173,69,False,36oNCGbPVXLp4l1FQFIiaK,2025-07-30 14:20,2.8
Destinos,Have A Nice Life,Sea of Worry,2025-07-30 12:17:03.673000+00:00,792935,27,False,0vyOKBpY21KgC7fXK3RXdd,2025-07-30 12:17,13.22
Lords of Tresserhorn,Have A Nice Life,Sea of Worry,2025-07-30 12:03:50.300000+00:00,367989,30,False,5z326NHauet8u9sA2legEb,2025-07-30 12:03,6.13
Everything We Forget,Have A Nice Life,Sea of Worry,2025-07-30 11:55:47.767000+00:00,252656,28,False,6EHogcDBUFgZ82ngBQBQDJ,2025-07-30 11:55,4.21
Trespassers W,Have A Nice Life,Sea of Worry,2025-07-30 11:51:34.793000+00:00,289947,38,False,2vNZ4Ycq72KazwkArDfBIH,2025-07-30 11:51,4.83
Science Beat,Have A Nice Life,Sea of Worry,2025-07-30 11:47:16.797000+00:00,335957,36,False,7t0LDGGUo33r1iACJK8S6a,2025-07-30 11:47,5.6
Dracula Bells,Have A Nice Life,Sea of Worry,2025-07-30 11:41:30.278000+00:00,464968,35,False,3s1d6v9aDHePiaNUUK6Gs2,2025-07-30 11:41,7.75
Sea of Worry,Have A Nice Life,Sea of Worry,2025-07-30 11:33:24.294000+00:00,280428,36,False,17UZNnLnMbHJp9Gw6slamE,2025-07-30 11:33,4.67
Emptiness Will Eat the Witch,Have A Nice Life,The Unnatural World,2025-07-30 11:28:43.799000+00:00,529459,33,False,4b5XMDNfv6DXzJiN2uxJOk,2025-07-30 11:28,8.82
"Dan and Tim, Reunited by Fate",Have A Nice Life,The Unnatural World,2025-07-30 11:05:44.207000+00:00,335496,34,False,4ymtL1e1zpOyZwbjhql62P,2025-07-30 11:05,5.59
Unholy Life,Have A Nice Life,The Unnatural World,2025-07-30 10:59:56.156000+00:00,170928,34,False,3qkPMWOFyFa2xwmCXry3fn,2025-07-30 10:59,2.85
Cropsey,Have A Nice Life,The Unnatural World,2025-07-30 10:52:24.590000+00:00,430976,32,False,7eyzZkMVECWpWa9X0iHj4I,2025-07-30 10:52,7.18
Music Will Untune the Sky,Have A Nice Life,The Unnatural World,2025-07-30 10:45:07.664000+00:00,300783,32,False,11IAqK4l06nzmPMtwe4qMn,2025-07-30 10:45,5.01
Burial Society,Have A Nice Life,The Unnatural World,2025-07-30 10:40:44.604000+00:00,400038,40,False,7lqVmd3J3niSSM4EuWXkwa,2025-07-30 10:40,6.67
